,,,,,,,,,,,,,,,,,,,,,,,
,Year Ended,,,,,,,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,$Change,,%Change,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,($ in millions),,,,,,,,,,,,,,,,,,,,,,
Research and development expenses,$,"12,914",,,$,"8,675",,,$,"4,239",,,49,%,,,,,,,,,
% of net revenue,9.9,%,,14.2,%,,,,,,,,,,,,,,,,,,
"Sales, general and administrative expenses","3,491",,,"2,654",,,837,,,32,%,,,,,,,,,,,,
% of net revenue,2.7,%,,4.4,%,,,,,,,,,,,,,,,,,,
Total operating expenses,$,"16,405",,,$,"11,329",,,$,"5,076",,,45,%,,,,,,,,,
% of net revenue,12.6,%,,18.6,%,,,,,,,,,,,,,,,,,,
