,,,,,,,,,,,,,,
,,,,Page,,,,,,,,,,
(a),1.,,Financial Statements,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Report of Independent Registered Public Accounting Firm (PCAOB ID: 238),50,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"Consolidated Statements of Income for the years ended January 26, 2025, January 28, 2024, and January 29, 2023",52,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"Consolidated Statements of Comprehensive Income for the years ended January 26, 2025, January 28, 2024, and January 29, 2023",53,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"Consolidated Balance Sheets as of January 26, 2025 and January 28, 2024",54,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"Consolidated Statements of Shareholders’ Equity for the years ended January 26, 2025, January 28, 2024, and January 29, 2023",55,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"Consolidated Statements of Cash Flows for the years ended January 26, 2025, January 28, 2024, and January 29, 2023",56,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Notes to the Consolidated Financial Statements,57,,,,,,,,,,
,,,,,,,,,,,,,,
,2.,,Financial Statement Schedule,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"Schedule II Valuation and Qualifying Accounts for the years ended January 26, 2025, January 28, 2024, and January 29, 2023",82,,,,,,,,,,
,,,,,,,,,,,,,,
,3.,,Exhibits,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,The exhibits listed in the accompanying index to exhibits are filed or incorporated by reference as a part of this Annual Report on Form 10-K.,83,,,,,,,,,,
