,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common StockOutstanding,,Additional Paid-in,,Accumulated Other Comprehensive,,Retained,,Total Shareholders',,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,Amount,,Capital,,Income (Loss),,Earnings,,Equity,,,,,,,,,,,,,,,,,,,,,,,,
"(In millions, except per share data)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balances as of Jan 30, 2022","25,064",,,$,26,,,$,"10,362",,,$,(11),,,$,"16,235",,,$,"26,612",,,,,,,,,,,,,,
Net income,—,,,—,,,—,,,—,,,"4,368",,,"4,368",,,,,,,,,,,,,,,,,,,
Other comprehensive loss,—,,,—,,,—,,,(32),,,—,,,(32),,,,,,,,,,,,,,,,,,,
Issuance of common stock from stock plans,312,,,—,,,355,,,—,,,—,,,355,,,,,,,,,,,,,,,,,,,
Tax withholding related to vesting of restricted stock units,(82),,,—,,,"(1,475)",,,—,,,—,,,"(1,475)",,,,,,,,,,,,,,,,,,,
Shares repurchased,(633),,,(1),,,(4),,,—,,,"(10,034)",,,"(10,039)",,,,,,,,,,,,,,,,,,,
Cash dividends declared and paid ($0.016 per common share),—,,,—,,,—,,,—,,,(398),,,(398),,,,,,,,,,,,,,,,,,,
Stock-based compensation,—,,,—,,,"2,710",,,—,,,—,,,"2,710",,,,,,,,,,,,,,,,,,,
"Balances as of Jan 29, 2023","24,661",,,25,,,"11,948",,,(43),,,"10,171",,,"22,101",,,,,,,,,,,,,,,,,,,
Net income,—,,,—,,,—,,,—,,,"29,760",,,"29,760",,,,,,,,,,,,,,,,,,,
Other comprehensive income,—,,,—,,,—,,,70,,,—,,,70,,,,,,,,,,,,,,,,,,,
Issuance of common stock from stock plans,265,,,—,,,403,,,—,,,—,,,403,,,,,,,,,,,,,,,,,,,
Tax withholding related to vesting of restricted stock units,(72),,,—,,,"(2,783)",,,—,,,—,,,"(2,783)",,,,,,,,,,,,,,,,,,,
Shares repurchased,(211),,,—,,,(27),,,—,,,"(9,719)",,,"(9,746)",,,,,,,,,,,,,,,,,,,
Cash dividends declared and paid ($0.016 per common share),—,,,—,,,—,,,—,,,(395),,,(395),,,,,,,,,,,,,,,,,,,
Stock-based compensation,—,,,—,,,"3,568",,,—,,,—,,,"3,568",,,,,,,,,,,,,,,,,,,
"Balances as of Jan 28, 2024","24,643",,,25,,,"13,109",,,27,,,"29,817",,,"42,978",,,,,,,,,,,,,,,,,,,
Net income,—,,,—,,,—,,,—,,,"72,880",,,"72,880",,,,,,,,,,,,,,,,,,,
Other comprehensive income,—,,,—,,,—,,,1,,,—,,,1,,,,,,,,,,,,,,,,,,,
Issuance of common stock from stock plans,203,,,—,,,490,,,—,,,—,,,490,,,,,,,,,,,,,,,,,,,
Tax withholding related to vesting of restricted stock units,(59),,,—,,,"(6,930)",,,—,,,—,,,"(6,930)",,,,,,,,,,,,,,,,,,,
Shares repurchased,(310),,,(1),,,(189),,,—,,,"(33,825)",,,"(34,015)",,,,,,,,,,,,,,,,,,,
Cash dividends declared and paid ($0.034 per common share),—,,,—,,,—,,,—,,,(834),,,(834),,,,,,,,,,,,,,,,,,,
Stock-based compensation,—,,,—,,,"4,757",,,—,,,—,,,"4,757",,,,,,,,,,,,,,,,,,,
"Balances as of Jan 26, 2025","24,477",,,$,24,,,$,"11,237",,,$,28,,,$,"68,038",,,$,"79,327",,,,,,,,,,,,,,
