,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ExpectedRemaining Term (years),,EffectiveInterest Rate,,"Jan 26, 2025",,"Jan 28, 2024",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,(In millions),,,,,,,,,,,,,,,,,,,,
0.584% Notes Due 2024 (1),,—,,0.66%,,$,—,,,$,"1,250",,,,,,,,,,,,,,,
3.20% Notes Due 2026,,1.6,,3.31%,,"1,000",,,"1,000",,,,,,,,,,,,,,,,,
1.55% Notes Due 2028,,3.4,,1.64%,,"1,250",,,"1,250",,,,,,,,,,,,,,,,,
2.85% Notes Due 2030,,5.2,,2.93%,,"1,500",,,"1,500",,,,,,,,,,,,,,,,,
2.00% Notes Due 2031,,6.4,,2.09%,,"1,250",,,"1,250",,,,,,,,,,,,,,,,,
3.50% Notes Due 2040,,15.2,,3.54%,,"1,000",,,"1,000",,,,,,,,,,,,,,,,,
3.50% Notes Due 2050,,25.2,,3.54%,,"2,000",,,"2,000",,,,,,,,,,,,,,,,,
3.70% Notes Due 2060,,35.2,,3.73%,,500,,,500,,,,,,,,,,,,,,,,,
Unamortized debt discount and issuance costs,,,,,,(37),,,(41),,,,,,,,,,,,,,,,,
Net carrying amount,,,,,,"8,463",,,"9,709",,,,,,,,,,,,,,,,,
Less short-term portion,,,,,,—,,,"(1,250)",,,,,,,,,,,,,,,,,
Total long-term portion,,,,,,$,"8,463",,,$,"8,459",,,,,,,,,,,,,,,
