,,,,,,,,
,,Page,,,,,,
,Part I,,,,,,,
Item 1.,Business,4,,,,,,
Item 1A.,Risk Factors,13,,,,,,
Item 1B.,Unresolved Staff Comments,32,,,,,,
Item 1C,Cybersecurity,32,,,,,,
Item 2.,Properties,33,,,,,,
Item 3.,Legal Proceedings,33,,,,,,
Item 4.,Mine Safety Disclosures,33,,,,,,
,Part II,,,,,,,
Item 5.,"Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",33,,,,,,
Item 6.,[Reserved],35,,,,,,
Item 7.,Management’s Discussion and Analysis of Financial Condition and Results of Operations,36,,,,,,
Item 7A.,Quantitative and Qualitative Disclosures About Market Risk,45,,,,,,
Item 8.,Financial Statements and Supplementary Data,46,,,,,,
Item 9.,Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,46,,,,,,
Item 9A.,Controls and Procedures,46,,,,,,
Item 9B.,Other Information,47,,,,,,
Item 9C.,Disclosure Regarding Foreign Jurisdictions that Prevent Inspections,47,,,,,,
,Part III,,,,,,,
Item 10.,"Directors, Executive Officers and Corporate Governance",47,,,,,,
Item 11.,Executive Compensation,48,,,,,,
Item 12.,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,48,,,,,,
Item 13.,"Certain Relationships and Related Transactions, and Director Independence",48,,,,,,
Item 14.,Principal Accountant Fees and Services,48,,,,,,
,Part IV,,,,,,,
Item 15.,Exhibits and Financial Statement Schedules,49,,,,,,
Item 16.,Form 10-K Summary,85,,,,,,
Signatures,,86,,,,,,
