,,,,,,,,,,,,,,,,,
,Year Ended,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,"Jan 29, 2023",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,(In millions),,,,,,,,,,,,,,,,
Current income taxes:,,,,,,,,,,,,,,,,,
Federal,$,"14,032",,,$,"5,710",,,$,"1,703",,,,,,,
State,892,,,335,,,46,,,,,,,,,,
Foreign,699,,,502,,,228,,,,,,,,,,
Total current,"15,623",,,"6,547",,,"1,977",,,,,,,,,,
Deferred income taxes:,,,,,,,,,,,,,,,,,
Federal,"(4,515)",,,"(2,499)",,,"(2,165)",,,,,,,,,,
State,(242),,,(206),,,—,,,,,,,,,,
Foreign,280,,,216,,,1,,,,,,,,,,
Total deferred,"(4,477)",,,"(2,489)",,,"(2,164)",,,,,,,,,,
Income tax expense (benefit),$,"11,146",,,$,"4,058",,,$,(187),,,,,,,
