,,,,,,,,,,,,,,,,,,,,,,,
,Compute & Networking,,Graphics,,All Other,,Consolidated,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,(In millions),,,,,,,,,,,,,,,,,,,,,,
"Year Ended Jan 26, 2025",,,,,,,,,,,,,,,,,,,,,,,
Revenue,$,"116,193",,,$,"14,304",,,$,—,,,$,"130,497",,,,,,,,,
Other segment items (1),"33,318",,,"9,219",,,,,,,,,,,,,,,,,,,
Operating income (loss),$,"82,875",,,$,"5,085",,,$,"(6,507)",,,$,"81,453",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Year Ended Jan 28, 2024",,,,,,,,,,,,,,,,,,,,,,,
Revenue,$,"47,405",,,$,"13,517",,,$,—,,,$,"60,922",,,,,,,,,
Other segment items (1),"15,389",,,"7,671",,,,,,,,,,,,,,,,,,,
Operating income (loss),$,"32,016",,,$,"5,846",,,$,"(4,890)",,,$,"32,972",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Year Ended Jan 29, 2023",,,,,,,,,,,,,,,,,,,,,,,
Revenue,$,"15,068",,,$,"11,906",,,$,—,,,$,"26,974",,,,,,,,,
Other segment items (1),"9,985",,,"7,354",,,,,,,,,,,,,,,,,,,
Operating income (loss),$,"5,083",,,$,"4,552",,,$,"(5,411)",,,$,"4,224",,,,,,,,,
