,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,,Balance atBeginning of Period,,Additions,,Deductions,,Balance atEnd of Period,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(In millions),,,,,,,,,,,,,,,,,,,,,,,,
Fiscal year 2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Allowance for doubtful accounts,,$,4,,,$,—,,(1),$,—,,(1),$,4,,,,,,,,,,,
Sales return allowance,,$,109,,,$,151,,(2),$,(178),,(4),$,82,,,,,,,,,,,
Deferred tax valuation allowance,,$,"1,552",,,$,58,,(3),$,—,,,$,"1,610",,,,,,,,,,,
Fiscal year 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
Allowance for doubtful accounts,,$,4,,,$,—,,(1),$,—,,(1),$,4,,,,,,,,,,,
Sales return allowance,,$,26,,,$,213,,(2),$,(130),,(4),$,109,,,,,,,,,,,
Deferred tax valuation allowance,,$,"1,484",,,$,162,,(3),$,(94),,(3),$,"1,552",,,,,,,,,,,
Fiscal year 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Allowance for doubtful accounts,,$,4,,,$,—,,(1),$,—,,(1),$,4,,,,,,,,,,,
Sales return allowance,,$,13,,,$,104,,(2),$,(91),,(4),$,26,,,,,,,,,,,
Deferred tax valuation allowance,,$,907,,,$,577,,(3),$,—,,,$,"1,484",,,,,,,,,,,
