,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Incorporated by Reference,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit No.,,Exhibit Description,,Schedule/Form,,,,Exhibit,,Filing Date,,,,,,,,,,,,,,,,,,
2.1^,,"Share Purchase Agreement, dated September 13, 2020, by and among NVIDIA, NVIDIA Holdings, Arm, SoftBank, and Vision Fund",,8-K,,,,2.1,,9/14/2020,,,,,,,,,,,,,,,,,,
3.1,,Restated Certificate of Incorporation,,10-K,,,,3.1,,3/18/2022,,,,,,,,,,,,,,,,,,
3.2,,Amendment to Restated Certificate of Incorporation of NVIDIA Corporation,,8-K,,,,3.1,,6/6/2022,,,,,,,,,,,,,,,,,,
3.3,,Amendment to Restated Certificate of Incorporation of NVIDIA Corporation,,8-K,,,,3.1,,6/7/2024,,,,,,,,,,,,,,,,,,
3.4,,"Bylaws of NVIDIA Corporation, Amended and Restated as of March 12, 2024",,8-K,,,,3.1,,3/14/2024,,,,,,,,,,,,,,,,,,
4.1,,"Reference is made to Exhibits 3.1, 3.2, 3.3 and 3.4",,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,,Specimen Stock Certificate,,S-1/A,,,,4.2,,4/24/1998,,,,,,,,,,,,,,,,,,
4.3,,"Indenture, dated as of September 16, 2016, by and between the Company and Computershare Trust Company, N.A., as successor to Wells Fargo Bank, National Association, as Trustee",,8-K,,,,4.1,,9/16/2016,,,,,,,,,,,,,,,,,,
4.4,,"Officers’ Certificate, dated as of September 16, 2016",,8-K,,,,4.2,,9/16/2016,,,,,,,,,,,,,,,,,,
4.5,,Form of 2026 Note,,8-K,,,,Annex B-1 to Exhibit 4.2,,9/16/2016,,,,,,,,,,,,,,,,,,
4.6*,,Description of Securities,,,,,,,,,,,,,,,,,,,,,,,,,,
4.7,,"Officers’ Certificate, dated as of March 31, 2020",,8-K,,,,4.2,,3/31/2020,,,,,,,,,,,,,,,,,,
4.8,,Form of 2030 Note,,8-K,,,,Annex A-1 to Exhibit 4.2,,3/31/2020,,,,,,,,,,,,,,,,,,
4.9,,Form of 2040 Note,,8-K,,,,Annex B-1 to Exhibit 4.2,,3/31/2020,,,,,,,,,,,,,,,,,,
4.10,,Form of 2050 Note,,8-K,,,,Annex C-1 to Exhibit 4.2,,3/31/2020,,,,,,,,,,,,,,,,,,
4.11,,Form of 2060 Note,,8-K,,,,Annex D-1 to Exhibit 4.2,,3/31/2020,,,,,,,,,,,,,,,,,,
4.12,,"Officers' Certificate, dated as of June 16, 2021",,8-K,,,,4.2,,6/16/2021,,,,,,,,,,,,,,,,,,
4.13,,Form of 2023 Note,,8-K,,,,Annex A-1 to Exhibit 4.2,,6/16/2021,,,,,,,,,,,,,,,,,,
4.14,,Form of 2024 Note,,8-K,,,,Annex B-1 to Exhibit 4.2,,6/16/2021,,,,,,,,,,,,,,,,,,
4.15,,Form of 2028 Note,,8-K,,,,Annex C-1 to Exhibit 4.2,,6/16/2021,,,,,,,,,,,,,,,,,,
4.16,,Form of 2031 Note,,8-K,,,,Annex D-1 to Exhibit 4.2,,6/16/2021,,,,,,,,,,,,,,,,,,
10.1,,Form of Indemnity Agreement between NVIDIA Corporation and each of its directors and officers,,8-K,,,,10.1,,3/7/2006,,,,,,,,,,,,,,,,,,
10.2+,,Amended and Restated 2007 Equity Incentive Plan,,10-Q,,,,10.1,,8/28/2024,,,,,,,,,,,,,,,,,,
10.3+,,Amended and Restated 2007 Equity Incentive Plan - Non-Employee Director Deferred Restricted Stock Unit Grant Notice and Deferred Restricted Stock Unit Agreement (2016),,10-K,,,,10.26,,3/12/2015,,,,,,,,,,,,,,,,,,
10.4+,,Amended and Restated 2007 Equity Incentive Plan - Non-Employee Director Restricted Stock Unit Grant Notice and Restricted Stock Unit Agreement (2016),,10-K,,,,10.27,,3/12/2015,,,,,,,,,,,,,,,,,,
10.5+,,Amended and Restated 2007 Equity Incentive Plan - Global Performance-Based Restricted Stock Unit Grant Notice and Performance-Based Restricted Stock Unit Agreement (2019),,8-K,,,,10.1,,3/11/2019,,,,,,,,,,,,,,,,,,
10.6+,,Amended and Restated 2007 Equity Incentive Plan – Global Restricted Stock Unit Grant Notice and Global Restricted Stock Unit Agreement (2020),,10-Q,,,,10.2,,5/21/2020,,,,,,,,,,,,,,,,,,
