,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7+,,Amended and Restated 2007 Equity Incentive Plan – Global Restricted Stock Unit Grant Notice and Global Restricted Stock Unit Agreement (2021),,10-Q,,,,10.2,,5/26/2021,,,,,,,,,,,,,,,,,,
10.8+,,Amended and Restated 2007 Equity Incentive Plan – Global Restricted Stock Unit Grant Notice and Global Restricted Stock Unit Agreement (2022),,10-K,,,,10.16,,3/18/2022,,,,,,,,,,,,,,,,,,
10.9+,,Amended and Restated 2007 Equity Incentive Plan – Global Restricted Stock Unit Grant Notice and Global Restricted Stock Unit Agreement (2023),,10-K,,,,10.14,,2/24/2023,,,,,,,,,,,,,,,,,,
10.10+,,Amended and Restated 2007 Equity Incentive Plan – Global Restricted Stock Unit Grant Notice and Global Restricted Stock Unit Agreement (2024) (version 1),,10-Q,,,,10.2,,5/29/2024,,,,,,,,,,,,,,,,,,
10.11+,,Amended and Restated 2007 Equity Incentive Plan - Global Performance-Based Restricted Stock Unit Grant Notice and Performance-Based Restricted Stock Unit Agreement (2024),,10-Q,,,,10.3,,5/29/2024,,,,,,,,,,,,,,,,,,
10.12+,,Amended and Restated 2007 Equity Incentive Plan – Global Restricted Stock Unit Grant Notice and Global Restricted Stock Unit Agreement (2024) (version 2),,10-Q,,,,10.1,,11/20/2024,,,,,,,,,,,,,,,,,,
10.13+*,,Amended and Restated 2007 Equity Incentive Plan - Global Restricted Stock Unit Grant Notice and Global Restricted Stock Unit Agreement (2025),,,,,,,,,,,,,,,,,,,,,,,,,,
10.14+*,,Amended and Restated 2007 Equity Incentive Plan - Global Performance-Based Restricted Stock Unit Grant Notice and Performance-Based Restricted Stock Unit Agreement (2025),,,,,,,,,,,,,,,,,,,,,,,,,,
10.15+*,,Amended and Restated 2012 Employee Stock Purchase Plan,,,,,,,,,,,,,,,,,,,,,,,,,,
10.16+,,Variable Compensation Plan - Fiscal Year 2024,,8-K,,,,10.1,,3/8/2023,,,,,,,,,,,,,,,,,,
10.17+,,Variable Compensation Plan - Fiscal Year 2025,,8-K,,,,10.1,,3/14/2024,,,,,,,,,,,,,,,,,,
10.18,,"Form of Commercial Paper Dealer Agreement between NVIDIA Corporation, as Issuer, and the Dealer party thereto",,8-K,,,,10.1,,12/15/2017,,,,,,,,,,,,,,,,,,
19.1*,,NVIDIA Corporation Insider Trading Policy,,,,,,,,,,,,,,,,,,,,,,,,,,
21.1*,,Subsidiaries of Registrant,,,,,,,,,,,,,,,,,,,,,,,,,,
23.1*,,Consent of PricewaterhouseCoopers LLP,,,,,,,,,,,,,,,,,,,,,,,,,,
24.1*,,Power of Attorney (included in signature page),,,,,,,,,,,,,,,,,,,,,,,,,,
31.1*,,Certification of Chief Executive Officer as required by Rule 13a-14(a) of the Securities Exchange Act of 1934,,,,,,,,,,,,,,,,,,,,,,,,,,
31.2*,,Certification of Chief Financial Officer as required by Rule 13a-14(a) of the Securities Exchange Act of 1934,,,,,,,,,,,,,,,,,,,,,,,,,,
32.1#*,,Certification of Chief Executive Officer as required by Rule 13a-14(b) of the Securities Exchange Act of 1934,,,,,,,,,,,,,,,,,,,,,,,,,,
32.2#*,,Certification of Chief Financial Officer as required by Rule 13a-14(b) of the Securities Exchange Act of 1934,,,,,,,,,,,,,,,,,,,,,,,,,,
97.1+,,"Compensation Recovery Policy, as amended and restated November 30, 2023",,10-K,,,,97.1,,2/21/2024,,,,,,,,,,,,,,,,,,
101.INS*,,XBRL Instance Document,,,,,,,,,,,,,,,,,,,,,,,,,,
101.SCH*,,XBRL Taxonomy Extension Schema Document,,,,,,,,,,,,,,,,,,,,,,,,,,
101.CAL*,,XBRL Taxonomy Extension Calculation Linkbase Document,,,,,,,,,,,,,,,,,,,,,,,,,,
101.DEF*,,XBRL Taxonomy Extension Definition Linkbase Document,,,,,,,,,,,,,,,,,,,,,,,,,,
101.LAB*,,XBRL Taxonomy Extension Labels Linkbase Document,,,,,,,,,,,,,,,,,,,,,,,,,,
101.PRE*,,XBRL Taxonomy Extension Presentation Linkbase Document,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,Cover Page Interactive Data File - the cover page interactive data file does not appear in the Interactive Data File because its XBRL tags are embedded within the Inline XBRL document,,,,,,,,,,,,,,,,,,,,,,,,,,
