,,,,,,,,
Signature,Title,Date,,,,,,
/s/ JEN-HSUN HUANG,"President, Chief Executive Officer and Director(Principal Executive Officer)","February 26, 2025",,,,,,
Jen-Hsun Huang,,,,,,,,
/s/ COLETTE M. KRESS,Executive Vice President and Chief Financial Officer(Principal Financial Officer),"February 26, 2025",,,,,,
Colette M. Kress,,,,,,,,
/s/ DONALD ROBERTSON,Vice President and Chief Accounting Officer(Principal Accounting Officer),"February 26, 2025",,,,,,
Donald Robertson,,,,,,,,
/s/ ROBERT K. BURGESS,Director,"February 26, 2025",,,,,,
Robert K. Burgess,,,,,,,,
/s/ TENCH COXE,Director,"February 26, 2025",,,,,,
Tench Coxe,,,,,,,,
/s/ JOHN O. DABIRI,Director,"February 26, 2025",,,,,,
John O. Dabiri,,,,,,,,
/s/ PERSIS S. DRELL,Director,"February 26, 2025",,,,,,
Persis S. Drell,,,,,,,,
/s/ DAWN HUDSON,Director,"February 26, 2025",,,,,,
Dawn Hudson,,,,,,,,
/s/ HARVEY C. JONES,Director,"February 26, 2025",,,,,,
Harvey C. Jones,,,,,,,,
/s/ MELISSA B. LORA,Director,"February 26, 2025",,,,,,
Melissa B. Lora,,,,,,,,
/s/ STEPHEN C. NEAL,Director,"February 26, 2025",,,,,,
Stephen C. Neal,,,,,,,,
/s/ ELLEN OCHOA,Director,"February 26, 2025",,,,,,
Ellen Ochoa,,,,,,,,
/s/ A. BROOKE SEAWELL,Director,"February 26, 2025",,,,,,
A. Brooke Seawell,,,,,,,,
/s/ AARTI SHAH,Director,"February 26, 2025",,,,,,
Aarti Shah,,,,,,,,
/s/ MARK A. STEVENS,Director,"February 26, 2025",,,,,,
Mark A. Stevens,,,,,,,,
